year,Investors_Name,total_investment
2015,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",5000000.0
2015,Bren Corporation,5000000.0
2015,"Kunal Bahl, Rohit Bansal, Blume Ventures, Phanindra Sama, Raju Reddy",5000000.0
2015,"Tiger Global Management, Lightspeed Venture Partners",5000000.0
2015,DMG information Asia Pacific,5000000.0
2015,"Accel Partners, Tiger Global Management",5000000.0
2015,"Catamaran Ventures, New India Investment Corporation",4850000.0
2015,Matrix Partners,4600000.0
2015,"Sequoia Capital, Ranjan Pai, Mohandas Pai & others",4500000.0
2015,Asia Pacific Internet Group,4500000.0
2015,Undisclosed Investor,4350000.0
2015,Jungle Ventures,4300000.0
2015,"Helion Venture Partners, Exfinity Ventures",4250000.0
2015,"New Enterprise Associates, Orios Venture Partners",4200000.0
2015,"Tiger Global, Rebright Partners, Sachin and Binny Bansal",4150000.0
2015,"Aspada Investment Advisors, Qualcomm Ventures",4000000.0
2015,Innoven Capital,4000000.0
2015,InfoEdge,4000000.0
2015,AngelPrime,4000000.0
2015,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",4000000.0
2015,N/A,3820000.0
2015,Mayfield Ventures,3500000.0
2015,"Accel Partners India, RB Investments",3500000.0
2015,Raghav Bahl,3300000.0
2015,Michael & Susan Dell Foundation,3250000.0
2015,"Kalaari Capital, India Quotient",3100000.0
2015,Indian Angel Network,3065000.0
2015,"Aarin Capital, Unitus Seed Fund",3000000.0
2015,Infosys,3000000.0
2015,DMG Information,3000000.0
2015,Hampton Capital,3000000.0
2015,Manipal Global Education Services,3000000.0
2015,High Networth Individuals from India & USA,3000000.0
2015,"Mangroves Capital Partners, Vikas Saxena",3000000.0
2015,"SAIF Partners, Fulcrum Ventures",3000000.0
2015,Neoteric Infomatique Limited,3000000.0
2015,"SAIF Partners, Accion",3000000.0
2015,Wu Chay Chin,3000000.0
2015,"Kalaari Capital, YourNest Angel Fund",3000000.0
2015,Biz Stone,3000000.0
2015,"DSG Consumer Partners, Saama Capital",3000000.0
2015,"Helion Venture Partners, Kalaari Capital",3000000.0
2015,"Mayfield Ventures, Kalaari Capital",3000000.0
2015,Palred Technologies Ltd,3000000.0
2015,Exfinity Venture Partners,3000000.0
2015,"Sierra Ventures, Cota Capital, Vegas Tech Fund",2950000.0
2015,"CA Media LP,\xc2\xa0 Start Media.",2800000.0
2015,Acumen Fund,2700000.0
2015,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",2500000.0
2015,Commonfloor,2500000.0
2015,Mitesh Majithia,2500000.0
2015,"Kalaari Capital, Sequoia Capital",2500000.0
2015,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu & SIDBI",2500000.0
2015,"IDG Ventures India, Elevar Equity, Accion Venture Lab",2500000.0
2015,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",2500000.0
2015,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",2400000.0
2015,SIDBI Venture Capital Ltd,2400000.0
2015,Unilazer Ventures,2400000.0
2015,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",2250000.0
2015,Info Edge (India) Ltd,2200000.0
2015,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",2200000.0
2015,"TPG Growth, TR Capital, IDG Ventures",2150000.0
2015,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",2000000.0
2015,Pankaj Gupta,2000000.0
2015,"IDG Ventures India, Kalaari Capital, 500 Startups",2000000.0
2015,Exfinity Ventures,2000000.0
2015,"Sanjeev Kapoor,\xc2\xa0 Ravi Saxena & Others",2000000.0
2015,"Arun Chandra Mohan, Praveen Sinha",2000000.0
2015,"Chicago Capital Ventures, Sanjay Mehta, Others",2000000.0
2015,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",2000000.0
2015,"Infuse Ventures, The Chennai Angels",2000000.0
2015,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\xc2\xa0 Mohandas Pai",2000000.0
2015,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",2000000.0
2015,Nirvana Venture Advisors,2000000.0
2015,"Helion Venture Partners, Orios Venture Partners",2000000.0
2015,InnoVen Capital,2000000.0
2015,"TCS, HDFC, Faering Capital, Elevate Sports",2000000.0
2015,"Dr Mushtaq Shah, Dr Faraz Naqvi",2000000.0
2015,"Accel Partners, SAIF Partners",2000000.0
2015,Rocket Internet,2000000.0
2015,"IDG Ventures, Outbox Ventures",2000000.0
2015,"IDG Ventures India,\xc2\xa0 Accel Partners India",2000000.0
2015,Oliphabs Capital,2000000.0
2015,Cataraman Ventures,2000000.0
2015,Karanpal Singh,2000000.0
2015,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",1900000.0
2015,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",1800000.0
2015,Undisclosed HNIs,1800000.0
2015,"Sequoia Capital, India Quotient",1750000.0
2015,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",1750000.0
2015,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",1700000.0
2015,Brick Eagle,1600000.0
2015,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",1600000.0
2015,Snow Leopard Technology Ventures,1600000.0
2015,"Arihant Patni, RAAY Global Investments",1530000.0
2015,"Michael & Susan Dell Foundation, Unitus Seed Fund",1500000.0
2015,"Exfinity Fund, GrowX Ventures.",1500000.0
2015,Sameer Koticha,1500000.0
2015,"Nandan Nilekani, Rajiv Mody, Ajai Chowdhary",1500000.0
2015,Ashok Agarwal,1500000.0
2015,"Inventus Capital Partners, IDG Ventures",1500000.0
2015,"Michael & Susan Dell Foundation, Pearson Learning Fund",1500000.0
2015,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\xc2\xa0 Ralph Berezan, Vissal Mathew,\xc2\xa0 Balamurali Krishna",1500000.0
2015,Group of Angel Investors,1459600.0
2015,"Manish Kheterpal, Alok Mittal,\xc2\xa0 Puneet Dalmia,",1450000.0
2015,"IDG Ventures, Naveen Tewari",1300000.0
2015,"Accel Partners, Traxcn Labs & Others",1300000.0
2015,"Orios Venture Partners, Zishaan Hayath",1300000.0
2015,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",1300000.0
2015,ah! Ventures,1250000.0
2015,Accel Partners India,1250000.0
2015,M&S Partners,1200000.0
2015,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",1200000.0
2015,"Orios Venture Partners, Mayfield India",1200000.0
2015,"IDG Ventures India, Jungle Ventures, India Quotient.",1200000.0
2015,Rajan Anandan & other angel investors,1200000.0
2015,Abhishek Gupta,1200000.0
2015,Unilazer,1200000.0
2015,Kris Gopalakrishnan & Others,1200000.0
2015,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",1150000.0
2015,"ah! Ventures, 500 Startups & Other HNIs",1100000.0
2015,"DSG consumer Partners, Paragon Partners",1000000.0
2015,"The Chennai Angels, IDG Ventures India",1000000.0
2015,"S.Gopalakrishnan, Beenos",1000000.0
2015,"Oliphans Capital, Haresh Chawla",1000000.0
2015,"Srinivas Aluri, Srinivas Modukury, BS Nagesh",1000000.0
2015,Parampara Capital,1000000.0
2015,,1000000.0
2015,RoundGlass Partners,1000000.0
2015,GirnarSoft,1000000.0
2015,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",1000000.0
2015,"InterGlobe Technology Quotient, Lantern Capital",1000000.0
2015,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",1000000.0
2015,"Kanwaljit Singh, TV Mohandas Pai",1000000.0
2015,"Gokul Jaykrishna, Brand Capital",1000000.0
2015,Medi Assist,1000000.0
2015,"Seedfund, Bedrock Ventures",1000000.0
2015,Info Edge,1000000.0
2015,"Bessemer Ventures, Blume Ventures",1000000.0
2015,"Sandeep Parwal, Krishan Gupta & Others",1000000.0
2015,"Mumbai Angels, Vriddhi Fund, Others",1000000.0
2015,"Blume Ventures, Flipkart",1000000.0
2015,Peesh Venture Capital,1000000.0
2015,"Rakesh Mathur, Vikas Taneja & others",1000000.0
2015,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",1000000.0
2015,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",1000000.0
2015,"NEA, Milliways Ventures, Naya Ventures",1000000.0
2015,Group of HNI investors,1000000.0
2015,"Jungle Ventures, Redbright Partners, Blume Ventures",1000000.0
2015,Astarc Ventures,1000000.0
2015,Reliance Capital Venture,1000000.0
2015,Mape Advisory,1000000.0
2015,People Group (Shaadi.com),1000000.0
